period,cond,q,h,nobs,excess,lo,hi,sig
2024 design,width_rel,0,15,373,-3.48,-5.16,-1.57,True
2024 design,width_rel,1,15,372,-0.95,-3.92,2.13,False
2024 design,width_rel,2,15,372,-0.25,-3.0,2.37,False
2024 design,width_rel,3,15,372,2.31,-1.33,6.09,False
2024 design,width_rel,4,15,373,1.59,-4.47,7.44,False
2024 design,width_rel,0,30,356,-3.0,-6.23,0.38,False
2024 design,width_rel,1,30,359,-0.57,-4.45,3.18,False
2024 design,width_rel,2,30,362,1.34,-2.62,5.3,False
2024 design,width_rel,3,30,364,3.5,-3.28,9.93,False
2024 design,width_rel,4,30,357,0.77,-9.2,10.94,False
2024 design,width_rel,0,60,308,-4.39,-8.79,0.07,False
2024 design,width_rel,1,60,316,-0.77,-6.3,5.14,False
2024 design,width_rel,2,60,326,2.49,-4.74,9.89,False
2024 design,width_rel,3,60,325,4.2,-5.82,13.98,False
2024 design,width_rel,4,60,303,2.71,-9.88,15.02,False
2024 design,ext,0,15,389,-0.34,-2.97,2.48,False
2024 design,ext,1,15,389,-3.26,-7.66,0.2,False
2024 design,ext,2,15,389,-1.36,-4.48,1.8,False
2024 design,ext,3,15,389,2.04,-2.78,7.29,False
2024 design,ext,4,15,389,2.02,-1.29,4.97,False
2024 design,ext,0,30,383,1.38,-3.08,5.69,False
2024 design,ext,1,30,385,-3.2,-9.34,1.65,False
2024 design,ext,2,30,377,-1.81,-7.18,3.47,False
2024 design,ext,3,30,369,3.06,-2.29,9.13,False
2024 design,ext,4,30,364,3.42,-1.48,8.06,False
2024 design,ext,0,60,336,3.69,-3.07,10.9,False
2024 design,ext,1,60,328,-1.6,-11.86,7.42,False
2024 design,ext,2,60,334,-4.68,-12.61,2.72,False
2024 design,ext,3,60,321,4.84,-2.66,11.61,False
2024 design,ext,4,60,324,4.4,-2.43,11.74,False
2024 design,bar_no,0,15,407,1.41,-3.43,7.31,False
2024 design,bar_no,1,15,376,4.11,-1.15,11.82,False
2024 design,bar_no,2,15,392,-4.12,-8.94,-0.01,True
2024 design,bar_no,3,15,406,-1.74,-5.76,2.32,False
2024 design,bar_no,4,15,364,-0.41,-6.51,5.03,False
2024 design,bar_no,0,30,407,1.78,-4.6,8.77,False
2024 design,bar_no,1,30,376,5.13,-0.61,12.48,False
2024 design,bar_no,2,30,392,-5.05,-13.51,1.64,False
2024 design,bar_no,3,30,406,1.34,-5.04,7.57,False
2024 design,bar_no,4,30,297,-0.78,-11.31,9.08,False
2024 design,bar_no,0,60,405,5.78,-3.56,16.75,False
2024 design,bar_no,1,60,376,-2.14,-11.9,7.07,False
2024 design,bar_no,2,60,392,-2.37,-12.62,6.36,False
2024 design,bar_no,3,60,406,4.56,-6.04,15.12,False
2024 design,bar_no,4,60,64,-5.12,-21.94,12.43,False
2024 design,or_rel,0,15,379,-2.4,-4.84,-0.09,True
2024 design,or_rel,1,15,372,-1.27,-5.01,2.14,False
2024 design,or_rel,2,15,373,0.64,-3.27,5.1,False
2024 design,or_rel,3,15,375,-2.53,-7.29,2.08,False
2024 design,or_rel,4,15,363,4.95,-0.04,10.27,False
2024 design,or_rel,0,30,362,-5.22,-10.3,-0.49,True
2024 design,or_rel,1,30,361,0.66,-4.74,5.73,False
2024 design,or_rel,2,30,358,3.12,-3.21,9.93,False
2024 design,or_rel,3,30,365,-2.13,-9.16,5.07,False
2024 design,or_rel,4,30,352,5.9,-2.66,14.56,False
2024 design,or_rel,0,60,313,-4.16,-10.74,2.62,False
2024 design,or_rel,1,60,315,1.05,-8.29,10.44,False
2024 design,or_rel,2,60,315,0.15,-9.0,9.69,False
2024 design,or_rel,3,60,319,-0.67,-13.12,12.56,False
2024 design,or_rel,4,60,316,8.03,-7.52,21.25,False
2024 design,gap_rel,0,15,383,1.31,-2.71,5.21,False
2024 design,gap_rel,1,15,364,-1.59,-4.85,1.83,False
2024 design,gap_rel,2,15,375,-1.69,-5.05,1.68,False
2024 design,gap_rel,3,15,376,-0.62,-5.01,3.56,False
2024 design,gap_rel,4,15,364,1.78,-3.75,7.39,False
2024 design,gap_rel,0,30,375,2.94,-4.14,9.47,False
2024 design,gap_rel,1,30,347,1.19,-4.54,6.99,False
2024 design,gap_rel,2,30,362,-7.0,-12.47,-1.7,True
2024 design,gap_rel,3,30,361,-1.28,-6.7,3.62,False
2024 design,gap_rel,4,30,353,6.35,-2.62,15.38,False
2024 design,gap_rel,0,60,328,-0.74,-12.62,10.4,False
2024 design,gap_rel,1,60,320,4.15,-4.68,13.3,False
2024 design,gap_rel,2,60,317,-4.07,-11.36,3.47,False
2024 design,gap_rel,3,60,308,0.38,-10.74,11.68,False
2024 design,gap_rel,4,60,305,4.87,-8.76,18.09,False
2024 design,day_move_sgn,0,15,1945,-0.18,-1.96,1.56,False
2024 design,day_move_sgn,0,30,1878,0.53,-2.32,3.51,False
2024 design,day_move_sgn,0,60,1643,1.3,-3.35,5.94,False
2024 design,seq,0,15,475,1.13,-2.19,4.85,False
